address,amount_of_times_interacted_with,custom_label,label,contract_type,token_symbol
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,19359,circle,FiatTokenProxy,ERC20 Token,USDC
0xb0415d55f2c87b7f99285848bd341c367feac1ea,10515,,ONE_R0AR_Token,ERC20 Token,1R0R
0xdac17f958d2ee523a2206206994597c13d831ec7,9485,bitfinex,TetherToken,ERC20 Token,USDT
0x8629bcd3b8a90fd7247f0c0e0e1434c69dadcca7,6033,,Create2ForwarderFactory,Other Contract,N/A
0x9008d19f58aabd9ed0d60971565aa8510560ab41,3988,cow-protocol,GPv2Settlement,Other Contract,N/A
0x0000bbddc7ce488642fb579f8b00f3a590007251,2309,,Label not found,Not a Verified Contract,N/A
0xf8dff673b555a225e149218c5005fc88f4a13870,1618,,MainnetController,Other Contract,N/A
0x4c1746a800d224393fe2470c70a35717ed4ea5f1,1541,,PProxy,ERC20 Token,PLUME
0x514910771af9ca656af840dff83e8264ecf986ca,1529,chainlink,LinkToken,ERC20 Token,LINK
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1445,wrapped-token,WETH9,ERC20 Token,WETH
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,1187,aave,InitializableImmutableAdminUpgradeabilityProxy,Other Contract,N/A
0x6c6f5b091bc50a6cb62e55b5c1eb7455205d2880,1071,,TransparentUpgradeableProxy,Other Contract,N/A
0x2ee96cf53ae5fbd5309284704f978d0ca66cb963,958,,RecipeExecutor,Other Contract,N/A
0xc36442b4a4522e871399cd717abdd847ab11fe88,550,token-contract,NonfungiblePositionManager,Other Contract,N/A
0x888888888889758f76e7103c6cbf23abbf58f946,492,,PendleRouterV4,Other Contract,N/A
0x6566194141eefa99af43bb5aa71460ca2dc90245,481,,Bundler3,Other Contract,N/A
0xd0a07a76746707f6d6d36d9d5897b14a8e9ed493,456,,PVComicBurn,Other Contract,N/A
0x308861a430be4cce5502d0a12724771fc6daf216,446,,UUPSProxy,Other Contract,N/A
0x6b175474e89094c44da98b954eedeac495271d0f,414,maker,Dai,ERC20 Token,DAI
0xf203ca1769ca8e9e8fe1da9d147db68b6c919817,413,gaming,WrappedNCG,ERC20 Token,WNCG
0x89a8c847f41c0dfa6c8b88638bacca8a0b777da7,409,,ERC1967Proxy,ERC20 Token,ELX
0x5afe3855358e112b5647b952709e6165e1c1eeee,400,safe-formerly-gnosis-safe,SafeToken,ERC20 Token,SAFE
0xa0b937d5c8e32a80e3a8ed4227cd020221544ee6,376,safe-formerly-gnosis-safe,Airdrop,Other Contract,N/A
